partner_cusip,name,sic2,is_compustat,years_in_top20,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
369604,General Electric Co,36,True,23,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
594918,Microsoft Corp,73,True,20,29.0,13.0,10.0,7.0,6.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,19.0,3.0,6.0,32.0,22.0
459200,IBM Corp,35,True,17,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,12.0,20.0,18.0,12.0,47.0,1584.0,104.0,170.0,173.0,67.0
620076,Motorola Solutions Inc,36,True,15,5.0,6.0,11.0,15.0,33.0,14.0,12.0,14.0,11.0,11.0,13.0,4.0,5.0,4.0,4.0,9.0,30.0,63.0,335.0,192.0,,,
984332,Yahoo! Inc,73,False,11,,,,1075.0,157.0,93.0,68.0,79.0,79.0,77.0,12.0,3.0,3.0,3.0,3.0,3.0,5.0,9.0,8.0,10.0,21.0,18.0,367.0
370442,General Motors Corp,37,False,11,9.0,8.0,8.0,3.0,7.0,7.0,8.0,8.0,7.0,8.0,5.0,23.0,22.0,126.0,167.0,394.0,616.0,335.0,,,,,
02364J,America Online Inc,73,False,10,10.0,5.0,5.0,10.0,1.0,1.0,2.0,1.0,1.0,9.0,843.0,,,,,,,,,,,,
606827,Mitsui & Co Ltd,50,True,10,11.0,12.0,69.0,25.0,16.0,20.0,26.0,11.0,18.0,27.0,40.0,38.0,32.0,21.0,29.0,14.0,35.0,75.0,14.0,13.0,22.0,23.0,15.0
826197,Siemens AG,36,True,10,74.0,73.0,16.0,29.0,17.0,22.0,18.0,32.0,22.0,29.0,7.0,20.0,9.0,17.0,14.0,12.0,16.0,54.0,41.0,32.0,56.0,119.0,38.0
9C7309,Alphabet Inc,73,False,10,,,,,,,,,,1647.0,275.0,516.0,63.0,8.0,7.0,4.0,2.0,10.0,6.0,16.0,9.0,4.0,6.0
17275R,Cisco Systems Inc,35,True,9,1489.0,1479.0,1156.0,108.0,11.0,9.0,7.0,7.0,8.0,14.0,22.0,9.0,8.0,15.0,68.0,51.0,1861.0,1754.0,1587.0,266.0,78.0,113.0,75.0
172967,Citigroup Inc,60,True,9,,,,697.0,265.0,90.0,28.0,24.0,16.0,5.0,6.0,17.0,49.0,22.0,16.0,11.0,10.0,6.0,18.0,60.0,123.0,230.0,319.0
263534,DuPont,28,True,9,18.0,22.0,12.0,5.0,9.0,11.0,9.0,10.0,17.0,13.0,23.0,26.0,82.0,88.0,65.0,39.0,162.0,132.0,107.0,48.0,104.0,45.0,867.0
166764,Chevron Corp,29,True,9,68.0,457.0,267.0,135.0,148.0,16.0,13.0,13.0,12.0,6.0,18.0,7.0,13.0,31.0,17.0,34.0,46.0,25.0,34.0,51.0,46.0,35.0,86.0
712219,Peoples Republic of China,99,False,9,2.0,2.0,4.0,13.0,51.0,55.0,145.0,104.0,58.0,47.0,54.0,68.0,100.0,158.0,41.0,33.0,34.0,13.0,4.0,15.0,13.0,8.0,65.0
