candidate_type,ranker,n_focals_with_top1,n_eff_top1
hospital_medical,raw_score,7626,1.0
hospital_medical,resid_rank,7626,1.0
hospital_medical,blend_050,7626,1.0
hospital_medical,n_current_ties,7626,1.0002622950774558
private_other,raw_score,7626,1.0
private_other,resid_rank,7626,1.0007870915742791
private_other,blend_050,7626,1.0
private_other,n_current_ties,7626,1.0002622950774558
public_compustat,raw_score,7626,1.9999977990210462
public_compustat,resid_rank,7626,1.000524658935563
public_compustat,blend_050,7626,1.000524658935563
public_compustat,n_current_ties,7626,1.0007871604632679
sovereign_state,raw_score,7626,1.9999207678094466
sovereign_state,resid_rank,7626,1.9999207678094466
sovereign_state,blend_050,7626,1.9999207678094466
sovereign_state,n_current_ties,7626,1.0005246933619942
university_research,raw_score,7626,1.0
university_research,resid_rank,7626,1.0
university_research,blend_050,7626,1.0
university_research,n_current_ties,7626,1.0
