focal_cusip,candidate_cusip,candidate_score,pool_size,r_min,r_max,tie_block_size
031162,046353,1.0,2890,1,2886,2886
097023,826197,1.0,2889,1,2889,2889
26153C,796050,1.0,2876,1,2867,2867
399473,538034,1.0,2896,1,2896,2896
45253H,532457,1.0,2896,1,2896,2896
80918C,98156Q,1.0,2896,1,2896,2896
925602,J03393,1.0,2894,1,2894,2894
23243T,052666,1.0,2896,1,2896,2896
826197,097023,1.0,2884,1,2883,2883
92343V,124857,1.0,2894,1,2894,2894
M25722,25582R,1.0,2896,1,2896,2896
63228P,277461,1.0,2896,1,2896,2896
740294,46120E,1.0,2896,1,2896,2896
780259,48242W,1.0,2896,1,2896,2896
758766,57158C,0.5,2892,2892,2892,1
G3727Q,750917,1.0,2896,1,2896,2896
