ranker,top_k,hit_rate,n_realized,n_in_topk
brokerage_only,5,0.9375,16,15
brokerage_only,10,0.9375,16,15
brokerage_only,20,0.9375,16,15
brokerage_only,50,0.9375,16,15
brokerage_only,100,0.9375,16,15
raw_score,5,0.0,16,0
raw_score,10,0.0,16,0
raw_score,20,0.1875,16,3
raw_score,50,0.1875,16,3
raw_score,100,0.1875,16,3
durable_value,5,0.0,16,0
durable_value,10,0.0,16,0
durable_value,20,0.1875,16,3
durable_value,50,0.1875,16,3
durable_value,100,0.1875,16,3
w_tenure_only,5,0.0,16,0
w_tenure_only,10,0.0,16,0
w_tenure_only,20,0.1875,16,3
w_tenure_only,50,0.1875,16,3
w_tenure_only,100,0.1875,16,3
n_current_ties,5,0.0,16,0
n_current_ties,10,0.0625,16,1
n_current_ties,20,0.125,16,2
n_current_ties,50,0.1875,16,3
n_current_ties,100,0.375,16,6
candidate_degree_l2,5,0.0625,16,1
candidate_degree_l2,10,0.0625,16,1
candidate_degree_l2,20,0.0625,16,1
candidate_degree_l2,50,0.1875,16,3
candidate_degree_l2,100,0.375,16,6
candidate_degree_all,5,0.0,16,0
candidate_degree_all,10,0.0,16,0
candidate_degree_all,20,0.125,16,2
candidate_degree_all,50,0.1875,16,3
candidate_degree_all,100,0.375,16,6
