ranker,top_k,horizon,n_in_topk,n_out_topk,mean_sales_in_topk,mean_sales_out_topk,lift
raw_score,20,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
raw_score,20,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
raw_score,50,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
raw_score,50,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
raw_score,100,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
raw_score,100,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
durable_value,20,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
durable_value,20,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
durable_value,50,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
durable_value,50,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
durable_value,100,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
durable_value,100,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
w_tenure_only,20,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
w_tenure_only,20,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
w_tenure_only,50,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
w_tenure_only,50,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
w_tenure_only,100,2,1,5,-0.04929395669840808,0.012027137623877948,-0.06132109432228603
w_tenure_only,100,4,1,1,-0.5901827180944608,0.3253377801680237,-0.9155204982624845
n_current_ties,20,2,1,5,0.22184525303131153,-0.04220070432206598,0.2640459573533775
n_current_ties,20,4,1,1,0.3253377801680237,-0.5901827180944608,0.9155204982624845
n_current_ties,50,2,2,4,0.17223110144185938,-0.08340511786568428,0.25563621930754366
n_current_ties,50,4,1,1,0.3253377801680237,-0.5901827180944608,0.9155204982624845
n_current_ties,100,2,4,2,0.015033922029847435,-0.02464697834920404,0.039680900379051476
n_current_ties,100,4,1,1,0.3253377801680237,-0.5901827180944608,0.9155204982624845
candidate_degree_l2,50,2,1,5,0.12261694985240723,-0.022355043686285114,0.14497199353869233
candidate_degree_l2,100,2,3,3,0.11482073429457292,-0.11120682382091236,0.22602755811548528
candidate_degree_l2,100,4,1,1,0.3253377801680237,-0.5901827180944608,0.9155204982624845
candidate_degree_all,20,2,1,5,0.22184525303131153,-0.04220070432206598,0.2640459573533775
candidate_degree_all,20,4,1,1,0.3253377801680237,-0.5901827180944608,0.9155204982624845
candidate_degree_all,50,2,2,4,0.17223110144185938,-0.08340511786568428,0.25563621930754366
candidate_degree_all,50,4,1,1,0.3253377801680237,-0.5901827180944608,0.9155204982624845
candidate_degree_all,100,2,4,2,0.015033922029847435,-0.02464697834920404,0.039680900379051476
candidate_degree_all,100,4,1,1,0.3253377801680237,-0.5901827180944608,0.9155204982624845
