,brokerage_only,raw_score,n_shared_partners_only,jaccard_only,share_focal_in_c_only,same_sic2_only,nation_match_only,broker_x_jaccard,broker_x_shared,broker_x_sic2,broker_x_nation,full_interaction
brokerage_only,1.0,0.002404823142741897,0.9468583534304195,0.9467954722130392,0.9468583534304195,0.09211149786146193,0.4835640319748784,0.9476596565347652,0.9479469132441609,0.09211149786146193,0.4835640319748784,0.09363359689551494
raw_score,0.002404823142741897,1.0,0.0023012991872986078,0.002294397590269055,0.0023012991872986078,0.0011318506357273033,0.0028756654289802657,0.002294397590269055,0.0023012991872986078,0.0011318506357273033,0.0028756654289802657,0.0013805562254164436
n_shared_partners_only,0.9468583534304195,0.0023012991872986078,1.0,0.9869929850984966,1.0,0.08959087919579525,0.46088958266024427,0.9855561613876415,0.9960464179582983,0.08953413273133003,0.46088268106321467,0.10406717139732512
jaccard_only,0.9467954722130392,0.002294397590269055,0.9869929850984966,1.0,0.9869929850984966,0.08950422581086863,0.4608190330017199,0.9966947831586606,0.9851818157779555,0.08946204938457691,0.4608190330017199,0.10718062910487149
share_focal_in_c_only,0.9468583534304195,0.0023012991872986078,1.0,0.9869929850984966,1.0,0.08959087919579525,0.46088958266024427,0.9855561613876415,0.9960464179582983,0.08953413273133003,0.46088268106321467,0.10406717139732512
same_sic2_only,0.09211149786146193,0.0011318506357273033,0.08959087919579525,0.08950422581086863,0.08959087919579525,1.0,0.06482466466316729,0.08950666166864377,0.08959331505357038,0.9998132386015942,0.06482466466316729,0.4873136311726511
nation_match_only,0.4835640319748784,0.0028756654289802657,0.46088958266024427,0.4608190330017199,0.46088958266024427,0.06482466466316729,1.0,0.46120776750592135,0.46140418574607783,0.06482466466316729,0.9999761581193525,0.15404939332400708
broker_x_jaccard,0.9476596565347652,0.002294397590269055,0.9855561613876415,0.9966947831586606,0.9855561613876415,0.08950666166864377,0.46120776750592135,1.0,0.9869881629527018,0.08949976007161423,0.46120776750592135,0.10753320228106664
broker_x_shared,0.9479469132441609,0.0023012991872986078,0.9960464179582983,0.9851818157779555,0.9960464179582983,0.08959331505357038,0.46140418574607783,0.9869881629527018,1.0,0.08957874501539687,0.46140418574607783,0.1043744094497627
broker_x_sic2,0.09211149786146193,0.0011318506357273033,0.08953413273133003,0.08946204938457691,0.08953413273133003,0.9998132386015942,0.06482466466316729,0.08949976007161423,0.08957874501539687,1.0,0.06482466466316729,0.48735031098903187
broker_x_nation,0.4835640319748784,0.0028756654289802657,0.46088268106321467,0.4608190330017199,0.46088268106321467,0.06482466466316729,0.9999761581193525,0.46120776750592135,0.46140418574607783,0.06482466466316729,1.0,0.15404939332400708
full_interaction,0.09363359689551494,0.0013805562254164436,0.10406717139732512,0.10718062910487149,0.10406717139732512,0.4873136311726511,0.15404939332400708,0.10753320228106664,0.1043744094497627,0.48735031098903187,0.15404939332400708,1.0
